,quantity
в,858
и,634
на,309
не,306
я,230
с,213
как,189
что,180
к,145
а,135
то,122
это,118
все,115
о,115
арво,114
из,112
его,105
но,105
по,102
он,95
от,84
за,82
же,73
мы,72
бы,66
так,65
когда,61
мне,59
было,57
у,56
она,55
стихи,53
поэзии,51
метс,50
поэта,49
или,47
только,43
для,43
ты,42
верлибра,40
еще,38
всего,38
ли,38
ее,37
где,37
вот,37
они,37
стихотворении,37
время,35
жизни,34
поэт,34
их,34
здесь,33
меня,33
стихотворение,33
стихотворения,32
был,31
без,31
во,30
стих,30
вы,30
очень,30
если,29
нет,28
поэтов,28
чтобы,28
кто,28
себе,28
со,27
даже,27
уже,27
верлибр,26
метса,26
чем,26
поэзия,26
может,25
стиха,25
эти,25
больше,25
году,25
русского,25
до,24
нас,24
после,24
том,24
строки,23
человек,23
свободный,22
есть,22
пришла,22
солнце,22
этом,22
были,22
можно,22
тебя,21
словно,21
мир,21
много,21
жизнь,21
них,21
верлибре,21
мира,21
себя,21
слова,21
нужно,20
ни,20
под,20
судьба,20
сам,20
более,20
через,19
тебе,19
стихах,19
два,19
мой,19
день,19
весь,19
знаю,19
тем,19
стихов,19
своей,18
быть,18
девушки,18
солнца,18
глаза,18
хотя,18
всегда,18
этот,17
ему,17
лет,17
один,17
мороза,17
могу,17
людей,16
над,16
нам,16
тогда,16
русской,16
тоже,16
которая,16
годы,16
какие,16
ведь,16
такой,15
свет,15
одно,15
которые,15
который,15
того,15
блок,14
именно,14
две,14
между,14
люди,14
какой,14
небо,14
стихе,14
идут,14
хочу,14
при,14
поэтому,13
осенних,13
которых,13
руки,13
лишь,13
оно,13
белый,13
мало,13
потому,13
раз,13
человека,13
года,13
три,13
иногда,13
мысли,13
несколько,13
свободного,13
будет,13
лесах,12
вдруг,12
эта,12
ничего,12
г,12
сейчас,12
была,12
прежде,12
книга,12
нем,12
сегодня,12
моя,12
лежит,12
пушкина,12
ней,12
писал,12
блока,12
перед,12
него,11
литературы,11
слово,11
кажется,11
этого,11
н,11
наш,11
душа,11
мои,11
отец,11
вас,11
